Model,Price Impact,Price Impact %,Avg MPG,Avg Tax,Avg Price,N
 Land Cruiser,12449.785242442265,38.610610579480664,32.190322580645166,161.1290322580645,44446.93548387097,31
 GT86,7231.692728558728,49.27763990754286,34.630188679245286,154.62264150943398,22353.716981132075,53
 Corolla,6213.875040143043,43.38547669818936,64.51750972762646,138.69649805447472,21670.801556420232,257
 C-HR,5777.693081790865,40.694948311306334,66.13375796178345,113.00424628450106,20687.305732484077,471
 Prius,4868.257321822635,30.271222971220475,80.82475247524752,89.00990099009901,20895.633663366338,101
 Hilux,4467.7899292740485,25.092570609016146,38.43928571428571,261.42857142857144,22509.053571428572,56
 RAV4,3286.458856577277,16.562686286200147,53.783962264150944,111.43867924528301,22204.216981132075,212
 Aygo,899.5445731371309,11.653947755451602,64.10683879972088,124.97208653175157,8504.446615491976,1433
 Verso,182.7511038299906,3.673963161245793,46.77068965517241,154.13793103448276,13687.637931034482,58
 Auris,154.78241610562898,2.023162919509146,68.87733812949641,78.5251798561151,14367.230215827338,278
 Yaris,52.58480687168067,0.9743950068656254,59.11655820679682,115.40853217642805,11554.74186550976,1383
 Avensis,26.10031777491834,2.2744414531303034,56.56222222222222,135.11111111111111,12673.31111111111,45
